dataset,split,gp_r2,xgb_r2,ffnn_r2,gp_rmse,xgb_rmse,ffnn_rmse
Caspase,SCAF_03,0.6122101435577199,0.5316109731424908,0.5834079172436846,0.7979076559664036,0.8769155388272066,0.8270083904565079
Caspase,SCAF_04,0.7524982868210381,0.7522565258138619,0.7385238556730818,0.5899647219882317,0.5902527920181396,0.6063913176959602
Caspase,SCAF_05,0.660369176116213,0.5507572454539738,0.6033869530598125,0.7336571774670346,0.8437818164552825,0.7928173024848546
Caspase,SCAF_06,0.6244326553835495,0.5743166122681497,0.5557740200359388,0.726493363431817,0.7734479463443162,0.7901139263083385
Caspase,SCAF_07,0.6625010229994228,0.5998585546273048,0.6527808375236306,0.6537872669102555,0.7118803346719479,0.6631351830154854
Caspase,SCAF_08,0.7487066614993444,0.7146195453193587,0.6882935070743954,0.6135887077410863,0.6538813990186618,0.6833761138878525
Caspase,SCAF_09,0.6771062467372497,0.6502296239312225,0.6815965169362239,0.6701241846163868,0.6974562689347896,0.6654483846350691
Coagulation,RND_00,0.6169628535709795,0.509756007061529,0.5262330787299025,0.7857598310187821,0.8889462806180661,0.8738798874850797
Coagulation,RND_01,0.5072677055614669,0.4097070285902432,0.41523745829348124,0.8788187715135694,0.9618948890305087,0.9573783091044019
Coagulation,RND_02,0.5172350292533725,0.4416917142676643,0.4510935678161967,0.9203506987108956,0.9897431570601545,0.9813741883388047
Coagulation,RND_03,0.5106254256431082,0.4490341245757591,0.5009935785836385,0.9201714329731623,0.9763609383793009,0.9291826943753858
Coagulation,RND_04,0.5857909439395528,0.5692295498620172,0.6003362804131498,0.8368009811531436,0.8533660043604905,0.8219771574739009
Coagulation,RND_05,0.5508328554791202,0.4088947685713008,0.4299762992398911,0.817192105508701,0.9374596271553163,0.9205907960985474
Coagulation,RND_06,0.5325320061102099,0.43216076740382836,0.4775200079691321,0.8514807597130166,0.9384509878659532,0.9001890593454032
Coagulation,RND_07,0.5363077580030252,0.4802977201890811,0.5083503525236438,0.8775218092367435,0.9290098420072713,0.9035888641632019
Coagulation,RND_08,0.6037526843965715,0.514859706259295,0.5409780186509856,0.7808452432891695,0.864003448529719,0.8404241897360702
Coagulation,RND_09,0.6308863115643537,0.5938935188921508,0.6048495408494862,0.796712247034711,0.8356826349835107,0.8243329564165484
Coagulation,SCAF_00,0.43713964825726015,0.31491868040919857,0.29265276798293227,0.9616123807547389,1.06089103673172,1.0779932626386337
